data,lat,lon,veiculos,mortos,endereco,severidade,vitimas,feridos,tipo_acidente,id_acidente,driverIncidenteDetails_id
2018-12-27 15:15:00,-23.509,-46.5459,2,1,R ILHA DE TUPINAMBARANAS,Vítimas Fatais,2,1,Colisão,D121800085,c47d9d5a-b2a6-4a0f-92c6-bc84c31d4bc8
2018-12-25 19:20:00,-23.5471,-46.4262,2,0,R STA TARCILIA,Vítimas Feridas,3,3,Colisão,D121801446,037c3fe6-9d88-4d91-a3e2-819fca454f12
2018-12-25 18:00:00,-23.6127,-46.4924,2,0,R JOAO PERES CALHAMARES,Vítimas Feridas,1,1,Colisão,D121803231,a4f98f33-33bd-4998-ad0b-e86bfe703d1b
2018-12-25 17:23:00,-23.5691,-46.6504,2,0,AV BRIG LUIS ANTONIO,Vítimas Feridas,1,1,Colisão,D121800997,6b396ddf-ac00-4dfd-8c09-c1e97257df88
2018-12-25 01:03:00,-23.5082,-46.3784,2,0,R JOAO DE DEUS MORAIS,Vítimas Feridas,1,1,Colisão,D121800297,8c42d0d4-b4aa-4395-a692-361cf32ee858
2018-12-22 09:25:00,-23.7644,-46.716,2,0,R LUIZ SUPERTTI,Vítimas Feridas,1,1,Colisão,D121801740,3ef6563b-67e3-4656-81da-026f45a140c8
2018-12-21 20:30:00,-23.5966,-46.519,2,0,R ANTONIO PEREIRA PEGAS,Vítimas Feridas,1,1,Colisão,D121801721,5dc3172d-30de-42d0-8042-527977cb86e2
2018-12-20 21:30:00,-23.4691,-46.5747,2,0,R LOPES DA COSTA,Vítimas Feridas,2,2,Colisão,D121800718,6bb05510-8014-40e5-93fc-409712bc345a
2018-12-20 19:24:00,-23.4469,-46.7377,2,0,R ANTONIO DE CABEZON,Vítimas Feridas,1,1,Colisão,D121801221,d2235a11-3435-4108-b198-702f097e348f
2018-12-19 22:00:00,-23.598000000000003,-46.4451,2,1,R PEDRO DA ESPERANCA,Vítimas Fatais,1,0,Colisão,D121801859,6ba33f8e-85aa-49d0-8dab-33b91eb8e088
2018-12-19 19:10:00,-23.6166,-46.4778,2,1,R GUILHERME SANDEVILLE,Vítimas Fatais,1,0,Colisão,D121802635,09609fc0-6c5c-49da-842a-4fef82f0bb0b
2018-12-19 18:30:00,-23.6152,-46.696000000000005,2,0,AV DR CHUCRI ZAIDAN,Vítimas Feridas,1,1,Colisão,D121801952,3305d97a-06ba-4673-81cb-715d0417bb77
2018-12-19 15:48:00,-23.5318,-46.6613,2,0,PC ANTONIO CINEL,Vítimas Feridas,1,1,Colisão,D121803126,4b49fcc7-300a-4342-974c-c2a15947ea8b
2018-12-18 11:30:00,-23.5484,-46.6209,2,0,R TORQUATO NETO,Vítimas Feridas,1,1,Colisão,D121800858,f399bbbd-cebd-4084-a091-12c33a0e3954
2018-12-18 11:26:00,-23.5724,-46.6504,3,0,R MARIA FIGUEIREDO,Vítimas Feridas,1,1,Choque,D121802005,89c5d164-0407-455e-b263-2d1474b868f3
2018-12-18 01:30:00,-23.4944,-46.6919,2,0,AV MIGUEL CONEJO,Vítimas Feridas,1,1,Atropelamento,D121801644,848fa40c-519b-474d-8fc3-d9bcda6a7752
2018-12-16 22:21:00,-23.5289,-46.5322,2,0,R PANHAMES,Vítimas Feridas,1,1,Atropelamento,D121800760,3bae8d3e-f170-4c14-8dcb-f4e1a0f8c0e3
2018-12-16 02:40:00,-23.4993,-46.6441,2,0,R MARIA CURUPAITI,Vítimas Feridas,1,1,Colisão,D121802411,8e00950b-210c-47c8-912a-618122e25f77
2018-12-15 00:15:00,-23.5545,-46.6245,2,0,AV DO ESTADO,Vítimas Feridas,1,1,Colisão,D121800063,add57335-703b-4b48-90b4-419976d2723a
