distance,id_x,id_y
0.0,0,0
1.089,0,1
0.437,0,2
1.446,0,3
0.873,0,4
1.086,0,5
1.409,0,6
1.397,0,7
0.199,0,8
0.117,0,9
1.993,0,10
1.897,0,11
2.262,0,12
2.496,0,13
2.729,0,14
2.892,0,15
4.147,0,16
2.82,0,17
3.387,0,18
3.121,0,19
4.166,0,20
4.365,0,21
4.53,0,22
4.063,0,23
3.491,0,24
3.884,0,25
3.643,0,26
4.099,0,27
4.511,0,28
4.811,0,29
4.907,0,30
4.565,0,31
4.122,0,32
4.134,0,33
3.652,0,34
2.817,0,35
4.218,0,36
4.14,0,37
4.222,0,38
5.112,0,39
4.933,0,40
4.229,0,41
3.839,0,42
3.585,0,43
2.915,0,44
2.929,0,45
2.506,0,46
2.816,0,47
2.464,0,48
2.325,0,49
2.526,0,50
2.815,0,51
2.739,0,52
1.588,0,53
3.986,0,54
2.869,0,55
3.552,0,56
3.527,0,57
4.298,0,58
4.571,0,59
4.581,0,60
4.912,0,61
4.571,0,62
4.063,0,63
4.963,0,64
5.431,0,65
5.18,0,66
5.464,0,67
6.212,0,68
5.76,0,69
6.319,0,70
5.606,0,71
4.94,0,72
6.768,0,73
4.919,0,74
4.658,0,75
4.223,0,76
6.205,0,77
6.619,0,78
6.555,0,79
0.957,1,0
0.0,1,1
1.116,1,2
0.894,1,3
1.552,1,4
1.766,1,5
2.088,1,6
2.077,1,7
1.155,1,8
1.073,1,9
2.672,1,10
2.577,1,11
2.941,1,12
3.176,1,13
3.408,1,14
3.571,1,15
4.826,1,16
3.499,1,17
4.066,1,18
3.8,1,19
4.846,1,20
5.044,1,21
5.209,1,22
4.742,1,23
4.17,1,24
4.563,1,25
4.322,1,26
4.779,1,27
5.19,1,28
5.491,1,29
5.587,1,30
5.245,1,31
4.801,1,32
4.813,1,33
4.331,1,34
3.496,1,35
4.897,1,36
4.82,1,37
4.902,1,38
5.791,1,39
5.613,1,40
4.909,1,41
4.518,1,42
4.264,1,43
3.594,1,44
3.608,1,45
3.186,1,46
3.495,1,47
3.143,1,48
3.005,1,49
3.206,1,50
3.494,1,51
3.418,1,52
2.725,1,53
4.666,1,54
3.548,1,55
4.232,1,56
4.207,1,57
4.977,1,58
5.25,1,59
5.26,1,60
5.591,1,61
5.251,1,62
4.742,1,63
5.642,1,64
6.11,1,65
5.859,1,66
6.144,1,67
6.891,1,68
6.44,1,69
6.998,1,70
6.285,1,71
5.619,1,72
7.447,1,73
5.599,1,74
5.337,1,75
4.902,1,76
6.884,1,77
7.298,1,78
7.234,1,79
0.292,2,0
1.356,2,1
0.0,2,2
1.109,2,3
0.436,2,4
0.65,2,5
0.973,2,6
0.961,2,7
0.489,2,8
0.407,2,9
1.557,2,10
1.461,2,11
1.825,2,12
2.06,2,13
2.292,2,14
2.455,2,15
3.71,2,16
2.384,2,17
2.951,2,18
2.684,2,19
3.73,2,20
3.929,2,21
4.093,2,22
3.626,2,23
3.055,2,24
3.447,2,25
3.206,2,26
3.663,2,27
4.074,2,28
4.375,2,29
4.471,2,30
4.129,2,31
3.685,2,32
3.697,2,33
3.216,2,34
2.38,2,35
3.781,2,36
3.704,2,37
3.786,2,38
5.01,2,39
4.497,2,40
3.793,2,41
3.403,2,42
3.149,2,43
2.478,2,44
2.492,2,45
2.07,2,46
2.379,2,47
2.027,2,48
1.889,2,49
2.384,2,50
2.703,2,51
2.302,2,52
1.855,2,53
3.626,2,54
2.726,2,55
3.44,2,56
3.385,2,57
3.937,2,58
4.469,2,59
4.48,2,60
4.811,2,61
4.47,2,62
3.92,2,63
4.862,2,64
5.329,2,65
5.079,2,66
5.363,2,67
6.111,2,68
5.659,2,69
6.218,2,70
5.505,2,71
4.797,2,72
6.625,2,73
4.777,2,74
4.515,2,75
4.08,2,76
6.104,2,77
6.517,2,78
6.454,2,79
0.926,3,0
1.103,3,1
1.084,3,2
0.0,3,3
1.52,3,4
1.734,3,5
2.057,3,6
2.045,3,7
1.123,3,8
1.041,3,9
2.08,3,10
2.545,3,11
2.909,3,12
3.144,3,13
3.377,3,14
3.539,3,15
4.795,3,16
3.468,3,17
4.035,3,18
3.768,3,19
4.814,3,20
5.013,3,21
5.177,3,22
4.71,3,23
4.139,3,24
4.531,3,25
4.291,3,26
4.747,3,27
5.158,3,28
5.459,3,29
5.555,3,30
5.213,3,31
4.769,3,32
4.781,3,33
4.3,3,34
3.465,3,35
4.865,3,36
4.788,3,37
4.87,3,38
5.759,3,39
5.581,3,40
4.877,3,41
4.487,3,42
4.233,3,43
3.562,3,44
3.576,3,45
3.154,3,46
3.463,3,47
3.111,3,48
2.973,3,49
3.174,3,50
3.463,3,51
3.386,3,52
2.662,3,53
4.634,3,54
3.517,3,55
4.2,3,56
4.175,3,57
4.946,3,58
5.218,3,59
5.229,3,60
5.559,3,61
5.219,3,62
4.711,3,63
5.611,3,64
6.078,3,65
5.828,3,66
6.112,3,67
6.86,3,68
6.408,3,69
6.966,3,70
6.254,3,71
5.588,3,72
7.415,3,73
5.567,3,74
5.305,3,75
4.871,3,76
6.853,3,77
7.266,3,78
7.203,3,79
0.799,4,0
1.863,4,1
0.507,4,2
1.48,4,3
0.0,4,4
0.578,4,5
0.563,4,6
0.529,4,7
0.996,4,8
0.914,4,9
1.147,4,10
1.051,4,11
1.415,4,12
1.65,4,13
1.883,4,14
2.045,4,15
3.301,4,16
1.974,4,17
2.541,4,18
2.275,4,19
3.32,4,20
3.519,4,21
3.684,4,22
3.216,4,23
2.645,4,24
3.038,4,25
2.797,4,26
3.253,4,27
3.665,4,28
3.965,4,29
4.061,4,30
3.719,4,31
3.276,4,32
3.288,4,33
2.806,4,34
1.971,4,35
3.372,4,36
3.294,4,37
3.376,4,38
4.601,4,39
4.087,4,40
3.383,4,41
2.993,4,42
2.739,4,43
2.068,4,44
2.083,4,45
1.66,4,46
1.969,4,47
1.618,4,48
1.479,4,49
1.88,4,50
2.293,4,51
1.893,4,52
2.362,4,53
3.216,4,54
2.64,4,55
3.031,4,56
3.298,4,57
3.527,4,58
4.06,4,59
4.07,4,60
4.401,4,61
4.06,4,62
3.753,4,63
4.452,4,64
4.92,4,65
4.669,4,66
4.954,4,67
5.701,4,68
5.25,4,69
5.808,4,70
5.095,4,71
4.63,4,72
6.458,4,73
4.61,4,74
4.348,4,75
3.913,4,76
5.694,4,77
6.108,4,78
6.044,4,79
0.94,5,0
2.003,5,1
0.648,5,2
1.391,5,3
0.462,5,4
0.0,5,5
1.237,5,6
0.727,5,7
1.137,5,8
1.055,5,9
0.938,5,10
1.725,5,11
2.09,5,12
1.441,5,13
2.557,5,14
2.72,5,15
3.975,5,16
2.013,5,17
3.215,5,18
2.949,5,19
3.994,5,20
4.193,5,21
4.358,5,22
3.891,5,23
3.319,5,24
3.712,5,25
3.471,5,26
3.927,5,27
4.339,5,28
4.639,5,29
4.735,5,30
4.393,5,31
3.95,5,32
3.962,5,33
3.48,5,34
2.645,5,35
4.046,5,36
3.968,5,37
4.05,5,38
5.275,5,39
4.761,5,40
4.057,5,41
3.667,5,42
3.413,5,43
2.743,5,44
2.757,5,45
2.334,5,46
2.644,5,47
2.292,5,48
2.153,5,49
2.554,5,50
2.968,5,51
2.567,5,52
2.503,5,53
3.89,5,54
3.314,5,55
3.705,5,56
3.972,5,57
4.202,5,58
4.734,5,59
4.744,5,60
5.075,5,61
4.735,5,62
4.428,5,63
5.126,5,64
5.594,5,65
5.343,5,66
5.628,5,67
6.375,5,68
5.924,5,69
6.482,5,70
5.769,5,71
5.304,5,72
7.132,5,73
5.284,5,74
5.022,5,75
4.587,5,76
6.368,5,77
6.782,5,78
6.718,5,79
1.224,6,0
2.287,6,1
0.932,6,2
1.905,6,3
0.789,6,4
1.197,6,5
0.0,6,6
0.472,6,7
1.421,6,8
1.339,6,9
0.885,6,10
0.777,6,11
1.141,6,12
1.376,6,13
1.609,6,14
1.771,6,15
3.027,6,16
1.7,6,17
2.267,6,18
2.001,6,19
3.046,6,20
3.245,6,21
3.41,6,22
2.942,6,23
2.371,6,24
2.763,6,25
2.523,6,26
2.763,6,27
3.174,6,28
3.473,6,29
3.569,6,30
3.227,6,31
2.8,6,32
2.795,6,33
2.331,6,34
1.697,6,35
2.879,6,36
2.774,6,37
2.856,6,38
4.081,6,39
3.567,6,40
2.863,6,41
2.473,6,42
2.219,6,43
1.549,6,44
1.809,6,45
1.14,6,46
1.695,6,47
1.098,6,48
1.065,6,49
1.466,6,50
1.774,6,51
1.373,6,52
2.836,6,53
2.696,6,54
2.12,6,55
2.511,6,56
2.778,6,57
3.008,6,58
3.54,6,59
3.55,6,60
3.881,6,61
3.541,6,62
3.234,6,63
3.932,6,64
4.4,6,65
4.149,6,66
4.434,6,67
5.181,6,68
4.73,6,69
5.288,6,70
4.575,6,71
4.11,6,72
5.938,6,73
4.09,6,74
3.828,6,75
3.393,6,76
5.174,6,77
5.588,6,78
5.524,6,79
1.333,7,0
2.397,7,1
1.041,7,2
2.014,7,3
0.898,7,4
0.727,7,5
0.505,7,6
0.0,7,7
1.53,7,8
1.448,7,9
0.601,7,10
0.993,7,11
1.357,7,12
1.104,7,13
1.824,7,14
1.987,7,15
3.242,7,16
1.676,7,17
2.483,7,18
2.216,7,19
3.262,7,20
3.461,7,21
3.625,7,22
3.158,7,23
2.586,7,24
2.979,7,25
2.738,7,26
3.195,7,27
3.606,7,28
3.907,7,29
4.003,7,30
3.661,7,31
3.217,7,32
3.229,7,33
2.747,7,34
1.912,7,35
3.313,7,36
3.236,7,37
3.318,7,38
4.542,7,39
4.029,7,40
3.325,7,41
2.934,7,42
2.68,7,43
2.01,7,44
2.024,7,45
1.602,7,46
1.911,7,47
1.559,7,48
1.421,7,49
1.821,7,50
2.235,7,51
1.834,7,52
2.896,7,53
3.158,7,54
2.581,7,55
2.972,7,56
3.24,7,57
3.469,7,58
4.001,7,59
4.012,7,60
4.342,7,61
4.002,7,62
3.695,7,63
4.394,7,64
4.861,7,65
4.611,7,66
4.895,7,67
5.643,7,68
5.191,7,69
5.749,7,70
5.037,7,71
4.572,7,72
6.4,7,73
4.551,7,74
4.289,7,75
3.855,7,76
5.636,7,77
6.049,7,78
5.986,7,79
0.341,8,0
1.183,8,1
0.531,8,2
1.541,8,3
0.968,8,4
1.181,8,5
1.504,8,6
1.492,8,7
0.0,8,8
0.164,8,9
2.088,8,10
1.992,8,11
2.356,8,12
2.591,8,13
2.824,8,14
2.986,8,15
4.242,8,16
2.915,8,17
3.482,8,18
3.216,8,19
4.261,8,20
4.46,8,21
4.624,8,22
4.157,8,23
3.586,8,24
3.978,8,25
3.738,8,26
4.194,8,27
4.606,8,28
4.906,8,29
5.002,8,30
4.66,8,31
4.217,8,32
4.229,8,33
3.747,8,34
2.912,8,35
4.313,8,36
4.235,8,37
4.317,8,38
5.195,8,39
5.028,8,40
4.324,8,41
3.934,8,42
3.68,8,43
3.009,8,44
3.023,8,45
2.601,8,46
2.91,8,47
2.559,8,48
2.42,8,49
2.61,8,50
2.899,8,51
2.834,8,52
1.68,8,53
4.07,8,54
2.953,8,55
3.636,8,56
3.611,8,57
4.382,8,58
4.654,8,59
4.665,8,60
4.996,8,61
4.655,8,62
4.147,8,63
5.047,8,64
5.515,8,65
5.264,8,66
5.548,8,67
6.296,8,68
5.844,8,69
6.403,8,70
5.69,8,71
5.024,8,72
6.851,8,73
5.003,8,74
4.741,8,75
4.307,8,76
6.289,8,77
6.702,8,78
6.639,8,79
0.217,9,0
1.06,9,1
0.407,9,2
1.417,9,3
0.844,9,4
1.057,9,5
1.38,9,6
1.368,9,7
0.17,9,8
0.0,9,9
1.964,9,10
1.868,9,11
2.232,9,12
2.467,9,13
2.7,9,14
2.862,9,15
4.118,9,16
2.791,9,17
3.358,9,18
