id_x,id_y,distance
1,3,1.096
1,4,0.484
1,5,1.411
1,6,0.855
1,7,1.083
1,9,1.409
1,10,1.391
1,11,0.189
1,12,0.118
1,13,1.992
1,14,1.973
1,15,2.276
1,16,2.517
1,17,2.736
1,18,2.912
1,19,4.139
1,20,2.826
1,21,3.339
1,22,3.11
1,23,4.159
1,24,4.324
1,25,4.514
1,26,4.234
1,27,4.073
1,28,3.882
1,29,3.643
1,30,4.093
1,31,4.508
1,32,4.818
1,33,4.993
1,34,4.586
1,35,4.116
1,36,4.144
1,37,3.648
1,38,2.846
1,40,4.204
1,41,4.14
1,42,4.214
1,43,6.245
1,44,5.1
1,45,4.936
1,47,3.835
1,48,3.588
1,49,2.92
1,50,3.01
1,51,2.469
1,53,2.787
1,54,2.414
1,55,2.313
1,56,2.539
1,57,2.814
1,58,2.731
1,59,1.584
1,60,3.996
1,61,2.893
1,62,3.551
1,63,3.513
1,64,4.285
1,65,4.592
1,66,4.581
1,67,4.911
1,68,4.563
1,69,4.053
1,70,4.963
1,71,5.432
1,72,5.181
1,73,5.326
1,74,5.508
1,75,6.213
1,76,5.755
1,77,5.92
1,78,5.605
1,79,4.934
1,80,6.185
1,81,4.81
1,82,4.619
1,83,4.231
1,85,4.777
1,86,5.178
1,87,5.285
1,89,4.777
1,90,6.084
1,91,6.679
1,92,6.558
1,93,7.545
1,94,6.139
1,95,7.324
1,96,6.556
1,98,6.783
1,99,7.503
1,100,7.243
1,101,5.537
1,102,6.138
1,103,5.72
1,105,4.959
1,106,5.799
1,107,5.722
1,108,5.222
1,109,5.086
1,110,5.547
1,111,6.023
1,112,6.1
1,113,5.005
1,114,5.621
1,115,4.964
1,116,4.663
1,117,4.303
1,118,4.353
1,119,4.018
1,120,4.674
1,121,4.066
1,122,5.02
1,123,4.554
1,124,4.928
1,125,4.882
1,126,5.075
1,127,5.572
1,128,5.452
1,129,5.514
1,130,6.045
1,131,6.108
1,132,6.539
1,133,6.73
1,137,4.225
1,138,3.534
1,140,5.577
1,141,2.22
1,143,3.044
1,144,2.911
1,145,5.742
1,147,3.413
1,148,6.965
1,149,7.408
1,150,9.009
1,151,8.177
1,152,7.288
1,153,7.961
1,154,7.954
1,155,7.125
1,157,7.753
1,159,6.575
1,162,6.103
1,163,6.196
1,165,5.582
1,167,6.689
1,169,7.511
1,172,9.051
1,174,8.598
1,175,5.131
1,176,7.488
1,177,8.458
1,178,7.529
1,181,7.258
1,183,6.586
1,186,6.117
1,187,6.391
1,189,1.12
1,192,6.677
1,194,6.94
1,196,7.702
1,197,7.039
1,198,7.02
1,199,6.619
1,201,2.86
1,202,3.444
1,203,3.322
1,204,4.315
1,205,4.063
1,206,3.827
1,207,3.835
1,208,3.388
1,209,3.69
1,210,3.621
1,211,3.421
1,212,3.385
1,213,3.479
1,214,2.656
1,215,2.455
1,216,2.892
1,217,2.472
1,218,2.183
1,219,1.592
1,220,1.936
1,221,1.983
1,222,1.398
1,223,1.492
1,224,1.27
1,225,2.496
1,226,1.525
1,227,0.948
1,229,0.898
1,230,1.271
1,231,0.985
1,232,0.379
1,233,0.844
1,234,1.548
1,235,1.486
1,236,1.63
1,238,1.957
1,239,2.426
1,240,2.251
1,241,2.719
1,261,2.782
1,262,3.681
1,263,3.416
1,264,4.484
1,267,5.699
1,268,6.223
1,269,6.094
1,270,6.053
1,271,6.338
1,272,8.13
1,273,6.655
1,274,6.73
1,275,6.88
1,276,7.293
1,277,7.478
1,278,7.137
1,279,5.398
1,292,7.551
1,293,8.114
1,294,8.045
1,295,8.418
1,297,7.33
1,298,7.366
1,299,6.934
1,300,6.507
1,301,7.836
1,302,7.37
1,303,7.802
1,304,8.046
1,305,8.212
1,306,8.785
1,307,8.917
1,308,8.814
1,310,8.619
1,311,8.524
1,312,7.874
1,313,7.608
1,314,7.706
1,315,7.922
1,316,8.459
1,317,8.664
1,318,5.816
1,319,6.377
1,320,6.353
1,321,5.682
1,322,6.24
1,323,6.063
1,324,5.569
1,325,5.648
1,326,6.122
1,327,6.676
1,328,6.54
1,329,5.66
1,331,5.605
1,332,6.128
1,333,7.037
1,334,6.377
1,335,6.013
1,336,6.027
1,337,6.374
1,338,6.589
1,339,7.518
1,340,7.543
1,341,8.122
1,342,7.924
1,343,6.888
1,344,7.504
1,345,7.501
1,346,7.6
1,347,8.901
1,348,9.228
1,349,8.338
1,355,7.371
1,358,4.218
1,359,6.164
3,1,0.95
3,4,1.139
3,5,0.855
3,6,1.527
3,7,1.755
3,9,2.081
3,10,2.063
3,11,1.138
3,12,1.067
3,13,2.664
3,14,2.645
3,15,2.948
3,16,3.189
3,17,3.408
3,18,3.584
3,19,4.811
3,20,3.498
3,21,4.011
3,22,3.782
3,23,4.831
3,24,4.996
3,25,5.186
3,26,4.906
3,27,4.745
3,28,4.554
3,29,4.315
3,30,4.765
3,31,5.18
3,32,5.491
3,33,5.665
3,34,5.258
3,35,4.788
3,36,4.816
3,37,4.32
3,38,3.518
3,40,4.876
3,41,4.812
3,42,4.886
3,43,6.917
3,44,5.772
3,45,5.608
3,47,4.507
3,48,4.26
3,49,3.592
3,50,3.682
3,51,3.141
3,53,3.459
3,54,3.086
3,55,2.985
3,56,3.211
3,57,3.486
3,58,3.403
3,59,2.714
3,60,4.668
3,61,3.566
3,62,4.223
3,63,4.185
3,64,4.957
3,65,5.264
3,66,5.253
3,67,5.583
3,68,5.235
3,69,4.725
3,70,5.635
3,71,6.104
3,72,5.853
3,73,5.998
3,74,6.18
3,75,6.885
3,76,6.427
3,77,6.592
3,78,6.277
3,79,5.606
3,80,6.857
3,81,5.482
3,82,5.291
3,83,4.903
3,85,5.449
3,86,5.85
3,87,5.958
3,89,5.449
3,90,6.756
3,91,7.351
3,92,7.23
3,93,8.217
3,94,6.811
3,95,7.996
3,96,7.229
3,98,7.455
3,99,8.175
3,100,7.915
3,101,6.209
3,102,6.81
3,103,6.392
3,105,5.631
3,106,6.471
3,107,6.394
3,108,5.894
3,109,5.758
3,110,6.219
3,111,6.695
3,112,6.772
3,113,5.677
3,114,6.293
3,115,5.636
3,116,5.335
3,117,4.975
3,118,5.025
3,119,4.69
3,120,5.346
3,121,4.738
3,122,5.692
3,123,5.226
3,124,5.6
3,125,5.554
3,126,5.747
3,127,6.244
3,128,6.124
3,129,6.186
3,130,6.718
3,131,6.78
3,132,7.211
3,133,7.402
3,137,4.898
3,138,4.206
3,140,5.603
3,141,2.892
3,143,3.716
3,144,3.584
3,145,6.414
3,147,4.085
3,148,7.637
3,149,8.08
3,150,9.681
3,151,8.849
3,152,7.96
3,153,8.634
3,154,8.626
3,155,7.797
3,157,8.425
3,159,7.247
3,162,6.775
3,163,6.868
3,165,6.254
3,167,7.361
3,169,8.183
3,172,9.723
3,174,9.27
3,175,5.803
3,176,8.16
3,177,9.131
3,178,8.201
3,181,7.93
3,183,7.258
3,186,6.789
3,187,7.063
3,189,1.792
3,192,7.349
3,194,7.612
3,196,8.374
3,197,7.711
3,198,8.15
3,199,7.749
3,201,3.99
3,202,4.574
3,203,4.452
3,204,4.987
3,205,4.736
3,206,4.499
3,207,4.507
3,208,4.06
3,209,4.362
3,210,4.293
3,211,4.093
3,212,4.057
3,213,4.152
3,214,3.223
3,215,3.127
3,216,3.564
3,217,3.144
3,218,2.855
3,219,2.264
3,220,2.608
3,221,2.655
3,222,2.528
3,223,2.622
3,224,1.942
3,225,3.168
3,226,2.655
3,227,2.078
3,229,1.57
3,230,1.943
3,231,1.389
3,232,1.3
3,233,0.915
3,234,1.872
3,235,1.5
3,236,1.953
3,238,2.28
3,239,2.074
3,240,2.574
3,241,2.366
3,261,3.105
3,262,4.005
3,263,3.739
3,264,4.807
3,267,6.023
3,268,6.895
3,269,6.417
3,270,6.376
3,271,6.661
3,272,8.802
3,273,6.978
3,274,7.053
3,275,7.203
3,276,7.617
3,277,7.801
3,278,7.46
3,279,6.07
3,292,8.223
3,293,8.786
3,294,8.717
3,295,9.09
3,297,8.002
3,298,8.039
3,299,7.607
3,300,7.179
3,301,8.508
3,302,8.042
3,303,8.474
3,304,8.718
3,305,8.884
3,306,9.457
3,307,9.589
3,308,9.486
3,310,9.291
3,311,9.196
3,312,8.546
3,313,8.28
3,314,8.378
3,315,8.594
3,316,9.131
3,317,9.336
3,318,6.488
3,319,7.049
3,320,7.025
3,321,6.354
3,322,6.912
3,323,6.735
3,324,6.241
3,325,6.32
3,326,6.794
3,327,7.348
3,328,7.212
3,329,6.332
3,331,6.277
3,332,6.8
3,333,7.709
3,334,7.05
3,335,6.685
3,336,6.699
3,337,7.046
3,338,7.261
3,339,8.19
3,340,8.216
3,341,8.794
3,342,8.596
3,343,7.561
3,344,8.176
3,345,8.173
3,346,8.272
3,347,9.573
3,348,9.901
3,349,9.01
3,355,8.043
3,358,4.541
3,359,6.836
4,1,0.331
4,3,1.402
4,5,1.046
4,6,0.389
4,7,0.616
4,9,0.943
4,10,0.924
4,11,0.519
4,12,0.448
4,13,1.525
4,14,1.506
4,15,1.809
4,16,2.05
4,17,2.269
4,18,2.445
4,19,3.673
4,20,2.36
4,21,2.872
4,22,2.643
4,23,3.692
4,24,3.857
4,25,4.047
4,26,3.767
4,27,3.606
4,28,3.415
4,29,3.176
4,30,3.626
4,31,4.041
4,32,4.352
4,33,4.526
4,34,4.119
4,35,3.649
4,36,3.677
4,37,3.181
4,38,2.379
4,40,3.737
4,41,3.673
4,42,3.747
4,43,5.386
4,44,4.968
4,45,4.469
4,47,3.368
4,48,3.121
4,49,2.453
4,50,2.543
4,51,2.002
4,53,2.32
4,54,1.947
4,55,1.846
4,56,2.271
4,57,2.67
4,58,2.264
4,59,1.891
4,60,3.606
4,61,3.042
4,62,3.408
4,63,3.662
4,64,3.894
4,65,4.459
4,66,4.449
4,67,4.778
4,68,4.43
4,69,3.874
4,70,4.83
4,71,5.3
4,72,5.048
4,73,5.193
4,74,5.375
4,75,6.08
4,76,5.622
4,77,5.787
4,78,5.473
4,79,4.755
4,80,6.052
4,81,4.631
4,82,4.44
4,83,4.052
4,85,4.598
4,86,4.999
4,87,5.107
4,89,4.598
4,90,5.906
4,91,6.5
4,92,6.379
4,93,7.412
4,94,6.006
4,95,7.191
4,96,6.424
4,98,6.651
4,99,7.37
4,100,7.11
4,101,5.07
4,102,5.672
4,103,5.253
4,105,4.492
4,106,5.332
4,107,5.255
4,108,4.755
4,109,4.619
4,110,5.08
4,111,5.556
4,112,5.633
4,113,4.538
4,114,5.154
4,115,4.497
4,116,4.196
4,117,3.836
4,118,3.886
4,119,3.551
4,120,4.207
4,121,3.599
4,122,4.553
4,123,4.087
4,124,4.461
4,125,4.415
4,126,4.608
4,127,5.105
4,128,4.985
4,129,5.047
4,130,5.579
4,131,5.641
4,132,6.072
4,133,6.263
4,137,3.759
4,138,3.067
4,140,5.11
4,141,1.753
4,143,2.577
4,144,2.445
4,145,5.275
4,147,2.946
4,148,6.832
4,149,7.276
4,150,8.831
4,151,8.044
4,152,7.109
4,153,7.783
4,154,7.775
4,155,6.946
4,157,7.575
4,159,6.396
4,162,5.925
4,163,6.018
4,165,5.403
4,167,6.51
4,169,7.333
4,172,8.872
4,174,8.419
4,175,4.952
