hex_id,sec_code,population,0_2_salaries,2_3_salaries,3_5_salaries,5_10_salaries,above_10_salaries,V002,V005,V006,V007,V008,V009,V010,V011,V012,V013
123x239,355030807000078,1213,0,0,0,0,0,545.0,0,0,2,5,17,11,47,80,72
121x239,355030807000078,353,0,0,0,0,0,545.0,0,0,2,5,17,11,47,80,72
120x240,355030807000080,306,0,0,0,0,0,482.0,0,0,1,6,28,28,43,67,31
120x241,355030807000080,760,0,0,0,0,0,482.0,0,0,1,6,28,28,43,67,31
121x239,355030807000097,353,0,0,0,0,0,47.0,0,0,1,0,1,1,1,6,8
120x240,355030807000097,306,0,0,0,0,0,47.0,0,0,1,0,1,1,1,6,8
121x239,355030845000098,353,0,0,0,0,0,469.0,0,0,1,5,14,12,25,63,58
120x240,355030845000098,306,0,0,0,0,0,469.0,0,0,1,5,14,12,25,63,58
123x239,355030807000028,1213,0,0,0,0,0,390.0,0,0,0,3,9,7,22,42,61
123x239,355030807000029,1213,0,0,0,0,0,81.0,0,0,0,0,2,2,8,13,13
123x239,355030807000030,1213,0,0,0,0,0,336.0,0,0,4,23,23,22,22,16,8
123x239,355030807000011,1213,0,0,0,0,0,662.0,0,0,0,5,31,25,33,67,83
123x239,355030807000027,1213,0,0,0,0,0,591.0,1,2,1,5,19,20,37,98,95
123x239,355030807000026,1213,0,0,0,0,0,635.0,3,0,1,11,23,24,47,97,72
124x238,355030807000026,818,0,0,0,0,0,635.0,3,0,1,11,23,24,47,97,72
123x239,355030807000056,1213,0,0,0,0,0,243.0,0,1,0,4,8,8,18,29,22
124x238,355030807000056,818,0,0,0,0,0,243.0,0,1,0,4,8,8,18,29,22
121x239,355030845000207,353,0,0,0,0,0,295.0,4,0,1,7,9,15,20,41,45
121x239,355030845000100,353,0,0,0,0,0,208.0,0,0,1,3,10,8,17,32,20
121x239,355030845000175,353,0,0,0,0,0,477.0,0,0,2,15,31,18,40,69,43
120x240,355030807000085,306,0,0,0,0,0,148.0,0,1,0,0,5,7,18,29,32
120x240,355030807000098,306,0,0,0,0,0,402.0,0,0,0,1,7,12,26,53,96
120x241,355030807000098,760,0,0,0,0,0,402.0,0,0,0,1,7,12,26,53,96
120x240,355030807000099,306,0,0,0,0,0,1268.0,0,1,4,13,30,23,68,175,227
120x241,355030807000099,760,0,0,0,0,0,1268.0,0,1,4,13,30,23,68,175,227
121x243,355030807000099,1418,0,0,0,0,0,1268.0,0,1,4,13,30,23,68,175,227
120x240,355030845000095,306,0,0,0,0,0,502.0,0,0,4,7,7,16,20,80,77
118x242,355030845000095,328,0,0,0,0,0,502.0,0,0,4,7,7,16,20,80,77
121x243,355030807000101,1418,0,0,0,0,0,689.0,1,0,7,25,67,37,75,66,17
121x243,355030807000103,1418,0,0,0,0,0,367.0,0,0,1,6,27,30,44,76,33
99x222,355030854000128,18,0,0,0,0,0,316.0,0,0,0,2,2,3,6,11,27
98x221,355030854000128,36,0,0,0,0,0,316.0,0,0,0,2,2,3,6,11,27
99x222,355030835000034,18,0,0,0,0,0,94.0,0,0,2,1,11,5,8,0,4
98x221,355030835000034,36,0,0,0,0,0,94.0,0,0,2,1,11,5,8,0,4
98x220,355030835000034,35,0,0,0,0,0,94.0,0,0,2,1,11,5,8,0,4
99x220,355030835000034,108,0,0,0,0,0,94.0,0,0,2,1,11,5,8,0,4
101x220,355030835000034,127,0,0,0,0,0,94.0,0,0,2,1,11,5,8,0,4
99x222,355030854000053,18,0,0,0,0,0,216.0,0,2,1,1,1,2,3,6,12
98x221,355030854000053,36,0,0,0,0,0,216.0,0,2,1,1,1,2,3,6,12
98x220,355030854000053,35,0,0,0,0,0,216.0,0,2,1,1,1,2,3,6,12
97x221,355030854000053,104,0,0,0,0,0,216.0,0,2,1,1,1,2,3,6,12
99x227,355030854000132,66,0,0,0,0,0,309.0,0,0,4,6,9,7,7,21,17
100x224,355030854000132,40,0,0,0,0,0,309.0,0,0,4,6,9,7,7,21,17
98x225,355030854000132,70,0,0,0,0,0,309.0,0,0,4,6,9,7,7,21,17
98x221,355030854000101,36,0,0,0,0,0,149.0,0,0,0,0,0,0,0,0,47
106x225,355030835000035,132,0,0,0,0,0,525.0,0,1,0,4,9,1,14,37,110
105x225,355030835000035,112,0,0,0,0,0,525.0,0,1,0,4,9,1,14,37,110
101x227,355030835000035,37,0,0,0,0,0,525.0,0,1,0,4,9,1,14,37,110
102x223,355030835000035,241,0,0,0,0,0,525.0,0,1,0,4,9,1,14,37,110
100x224,355030835000035,40,0,0,0,0,0,525.0,0,1,0,4,9,1,14,37,110
102x227,355030835000035,37,0,0,0,0,0,525.0,0,1,0,4,9,1,14,37,110
126x237,355030807000052,729,0,0,0,0,0,1114.0,0,0,0,5,18,17,65,99,168
126x236,355030807000052,463,0,0,0,0,0,1114.0,0,0,0,5,18,17,65,99,168
126x236,355030807000054,463,0,0,0,0,0,907.0,0,1,3,37,47,35,56,133,144
126x237,355030807000023,729,0,0,0,0,0,174.0,0,0,0,3,6,14,8,23,18
126x236,355030807000023,463,0,0,0,0,0,174.0,0,0,0,3,6,14,8,23,18
126x237,355030807000024,729,0,0,0,0,0,503.0,0,0,1,6,18,19,47,72,51
126x237,355030807000025,729,0,0,0,0,0,380.0,0,0,1,4,8,23,34,43,48
124x238,355030807000025,818,0,0,0,0,0,380.0,0,0,1,4,8,23,34,43,48
125x239,355030807000025,1401,0,0,0,0,0,380.0,0,0,1,4,8,23,34,43,48
126x237,355030807000005,729,0,0,0,0,0,435.0,0,0,2,5,15,14,29,53,46
