"nome","local","data","tipo","MI_PRINX","Vol_Diario_Estimado","latitude","longitude"
"19025","AV AMARAL GURGEL PROX R MAJ SERTORIO",20190215000000000,"B",4927,350,-23.545367,-46.64774
"19035","AV SUMARE PROX  R DR HOMEM DE MELO",20190225000000000,"B",4937,1090,-23.530805,-46.677332
"19064","R CEL XAVIER DE TOLEDO X PC RAMOS E AZEVEDO",20190312000000000,"B",4966,510,-23.545891,-46.638765
"19105","AV CIDADE JARDIM SOB X PA PROF MIGUEL REALE",20190514000000000,"B",5007,2150,-23.585869,-46.689287
"19173","AV FRANCISCO FALCONI ENTRE R MARIO AUGUSTO DO CARMO E R ARACATI-MIRIM",20190904000000000,"B",5163,100,-23.586341,-46.56881
"19174","R MARIO AUGUSTO DO CARMO  ENTRE AV FRANCISCO FALCONI E R JOSE DO PASSO BRUQUES",20190909000000000,"B",5164,41,-23.586828,-46.569198
"19175","R PINHEIRO GUIMARAES ENTRE R MARIO AUGUSTO DO CARMO E R PROF GUSTAVO PIRES DE ANDRADE",20190909000000000,"B",5165,100,-23.585764,-46.573387
"19176"," R PROF GUSTAVO PIRES DE ANDRADE  ENTRE R PINHEIRO GUIMARAES E R FRANCISCO POLITO",20190909000000000,"B",5166,23,-23.586571,-46.573262
"19177","AV JACINTO MENEZES PALHARES PROXIMO A R ATOPE",20190909000000000,"B",5167,266,-23.585062,-46.565011
"19178","R STO ANTONIO PROX AO VD NOVE DE JULHO",20190909000000000,"B",5168,174,-23.55041,-46.641851
"19179","R ABOLICAO PROX R STO ANTONIO",20190916000000000,"B",5169,162,-23.550955,-46.64236
"19180","R ELBA PROX A R REGINO ARAGAO",20190916000000000,"B",5170,87,-23.613142,-46.603066
"19181","R REGINO ARAGAO PROX A  R ELBA",20190916000000000,"B",5171,126,-23.613324,-46.603648
"19183","R ABAUNA PROX A  R ELBA",20190916000000000,"B",5173,22,-23.610614,-46.602767
"19211","LGO DO AROUCHE",20190705000000000,"B",5201,170,-23.541643,-46.645476
"19214","AV DAS CEREJEIRAS PROXIMO A PRACA TOKYO",20191015000000000,"B",5204,510,-23.502327,-46.572755
"19215","AV EDU CHAVES PROXIMO A AV SANATORIO",20191015000000000,"B",5205,1120,-23.472664,-46.571473
"19216","AV LUIS STAMATIS PROXIMO A R IRMA EMERENCIANA",20191015000000000,"B",5206,740,-23.46856,-46.57974
"19217","R GUILHERME MAINARD PROX ES DO CAMPO LIMPO",20191016000000000,"B",5207,230,-23.624087,-46.764323
"19222","R ALEXANDRE DUMAS ENTRE AV SANTO AMARO E R FRANCISCO DE MORAES",20191022000000000,"B",5212,210,-23.636884,-46.696098
"19223","R FERNANDES MOREIRA ENTRE R RODRIGUES PAIS E R BRANCO DE MORAIS",20191022000000000,"B",5213,380,-23.631272,-46.703939
"19224","R ALEXANDRE DUMAS ENTRE AV NACOES UNIDAS E AV CECILIA LOTTEMBERG",20191022000000000,"B",5214,230,-23.62867,-46.709931
"19231","R TOBIAS BARRETO ENTRE AV ALVARO RAMOS E R URIEL GASPAR",20191029000000000,"B",5221,120,-23.544974,-46.583303
"19233","R DOMINGOS AGOSTIM ENTRE R TUIUTI E R JARINU",20191029000000000,"B",5223,90,-23.542061,-46.575766
