Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83781;26/05/2018;0000;17.4;15.7;84;931.1;18;2.5;10;
83781;26/05/2018;1200;16.4;15;85;931.8;5;2.5;10;
83781;26/05/2018;1800;22.2;16.7;57;930;23;2.1;6;
83781;27/05/2018;0000;17.2;15.4;83;930.4;14;2.5;10;
83781;27/05/2018;1200;16;14.7;86;933.4;9;2.5;10;
83781;27/05/2018;1800;22.7;16.1;49;931.5;9;1.6;6;
83781;28/05/2018;0000;16.8;15.3;86;932.6;14;1.6;5;
83781;28/05/2018;1200;15;13.7;87;933.9;5;3.3;10;
83781;28/05/2018;1800;22.3;14.4;40;931.6;14;2.8;2;
83781;29/05/2018;0000;16.6;14.8;83;933.1;9;2.5;1;
83781;29/05/2018;1200;16.8;14.4;77;934.2;9;4.5;1;
83781;29/05/2018;1800;23.5;15.1;39;931;5;1.6;6;
83781;30/05/2018;0000;17.8;14.8;72;931.9;14;2;6;
83781;30/05/2018;1200;15.8;13.9;81;932.5;18;3.3;3;
83781;30/05/2018;1800;24.2;14.8;32;928.9;36;2.1;1;
83781;31/05/2018;0000;18.5;14.8;67;929.9;14;1.6;0;
83781;31/05/2018;1200;15.5;13.5;80;928.8;14;1.6;4;
83781;31/05/2018;1800;24.8;15.6;35;925.2;27;3;7;
83781;01/06/2018;0000;20.3;17.1;73;926.2;14;1.6;10;
83781;01/06/2018;1200;18.8;14.8;65;926.6;5;1.1;3;
83781;01/06/2018;1800;24.9;15.2;32;924.8;36;4.1;1;
83781;02/06/2018;0000;20.1;14.1;50;926.1;32;1.6;7;
83781;02/06/2018;1200;20.2;15.1;58;928.5;32;1.6;10;
83781;02/06/2018;1800;24.7;17.7;49;926.5;32;2.8;10;
83781;03/06/2018;0000;22.5;17.7;62;928.1;0;0;10;
83781;03/06/2018;1200;16.8;16;92;932.8;14;2.5;10;
83781;03/06/2018;1800;16.8;14.8;81;932.1;14;4.1;10;
83781;04/06/2018;0000;14.2;13.3;91;934.5;14;3.3;10;
83781;04/06/2018;1200;14.5;13.1;85;934.9;14;2.1;10;
83781;04/06/2018;1800;17;14.1;68;931.9;14;3.3;10;
83781;05/06/2018;0000;15.4;14.1;87;930.9;14;2.5;10;
83781;05/06/2018;1200;14.8;14;92;928.5;9;3;10;
83781;05/06/2018;1800;18.6;16.3;79;926.3;9;1.6;10;
83781;06/06/2018;0000;16.3;15.1;87;925.2;9;2.1;3;
83781;06/06/2018;1200;18.2;16.7;86;924.4;0;0;10;
83781;06/06/2018;1800;23.2;18.3;62;922.3;32;4;7;
83781;07/06/2018;0000;16.1;15.3;92;925;18;1;10;
83781;07/06/2018;1200;16.7;16.3;96;925.6;18;1;10;
83781;07/06/2018;1800;21.9;18.5;72;923.9;32;4;10;
83781;08/06/2018;0000;19.9;17;75;926.3;32;2.5;8;
83781;08/06/2018;1200;15.8;14.7;88;928.9;27;2.3;10;
83781;08/06/2018;1800;18;14.9;71;928.3;23;3.3;5;
83781;09/06/2018;0000;14.8;13.5;87;930.4;18;2.3;10;
83781;09/06/2018;1200;14.5;13.5;90;930.8;27;2;10;
83781;09/06/2018;1800;19.5;16.7;75;928.3;0;0;10;
83781;10/06/2018;0000;16.2;15.3;91;925.4;14;1.6;0;
83781;10/06/2018;1200;15.4;15.1;96;929.6;5;2.3;10;
83781;10/06/2018;1800;23.5;19.8;71;926.8;9;2.5;10;
83781;11/06/2018;0000;20.9;19.1;83;927.7;14;1.6;0;
83781;11/06/2018;1200;18.8;18.1;93;927.6;14;1.6;10;
83781;11/06/2018;1800;27.7;20.3;50;927.7;32;2.5;7;
83781;12/06/2018;0000;23.2;19.5;71;925.9;36;1.6;0;
83781;12/06/2018;1200;24.1;19.1;61;926.4;9;2.5;6;
83781;12/06/2018;1800;26.3;19.3;51;926;32;2.5;10;
83781;13/06/2018;0000;24;19;62;927;27;3.3;10;
83781;13/06/2018;1200;20;19.1;92;928;0;0;10;
83781;13/06/2018;1800;23.5;19.5;69;926.4;5;3;10;
83781;14/06/2018;0000;21.2;19.7;87;928;14;1.6;10;
83781;14/06/2018;1200;15.8;14.8;89;931.7;18;3;10;
83781;14/06/2018;1800;15.5;13.9;84;930.7;18;4;10;
83781;15/06/2018;0000;13.7;12.5;87;932.3;18;4.6;10;
83781;15/06/2018;1200;14.2;13.1;89;933.5;9;1.6;10;
83781;15/06/2018;1800;15.7;13.2;75;931.2;23;4;10;
83781;16/06/2018;0000;14.7;13.7;90;933.5;18;2.5;10;
83781;16/06/2018;1200;14.4;13.3;89;934.9;18;3;10;
83781;16/06/2018;1800;16.2;13.7;75;933.4;18;3.3;10;
83781;17/06/2018;0000;14.2;12.9;87;934.9;18;3.3;10;
83781;17/06/2018;1200;15.1;13.9;88;936.2;9;3;10;
83781;17/06/2018;1800;19.3;15.6;68;933.5;14;2.5;8;
83781;18/06/2018;0000;15;13.7;87;935.6;14;3;10;
